millis,dt,v,a,watts,v_sh
194,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
200,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
207,1970-01-01 00:00:00,5.088,0.081,0.413,0.008
213,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
223,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
233,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
243,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
253,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
263,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
273,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
283,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
293,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
303,1970-01-01 00:00:00,5.064,0.044,0.225,0.004
313,1970-01-01 00:00:00,5.064,0.028,0.140,0.003
323,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
333,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
343,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
353,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
363,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
373,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
383,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
393,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
403,1970-01-01 00:00:00,5.072,0.027,0.138,0.003
413,1970-01-01 00:00:00,5.072,0.077,0.390,0.008
423,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
433,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
443,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
453,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
463,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
473,1970-01-01 00:00:00,5.088,0.058,0.295,0.006
483,1970-01-01 00:00:00,5.056,0.058,0.293,0.006
493,1970-01-01 00:00:00,5.056,0.085,0.429,0.008
503,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
513,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
523,1970-01-01 00:00:00,5.072,0.081,0.410,0.008
533,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
543,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
553,1970-01-01 00:00:00,5.072,0.028,0.144,0.003
563,1970-01-01 00:00:00,5.088,0.028,0.144,0.003
573,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
583,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
593,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
603,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
613,1970-01-01 00:00:00,5.072,0.079,0.400,0.008
623,1970-01-01 00:00:00,5.064,0.079,0.399,0.008
633,1970-01-01 00:00:00,5.064,0.031,0.158,0.003
643,1970-01-01 00:00:00,5.088,0.031,0.159,0.003
653,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
663,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
673,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
683,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
693,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
703,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
713,1970-01-01 00:00:00,5.080,0.061,0.309,0.006
723,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
733,1970-01-01 00:00:00,5.088,0.082,0.417,0.008
743,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
753,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
763,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
773,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
783,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
793,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
803,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
813,1970-01-01 00:00:00,5.072,0.027,0.138,0.003
823,1970-01-01 00:00:00,5.072,0.060,0.306,0.006
833,1970-01-01 00:00:00,5.088,0.060,0.307,0.006
843,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
853,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
863,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
873,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
883,1970-01-01 00:00:00,5.080,0.028,0.140,0.003
893,1970-01-01 00:00:00,5.080,0.028,0.140,0.003
903,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
913,1970-01-01 00:00:00,5.080,0.070,0.358,0.007
923,1970-01-01 00:00:00,5.080,0.070,0.358,0.007
933,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
943,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
953,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
963,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
973,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
983,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
993,1970-01-01 00:00:00,5.088,0.028,0.144,0.003
1003,1970-01-01 00:00:00,5.080,0.028,0.144,0.003
1014,1970-01-01 00:00:00,5.080,0.029,0.146,0.003
1023,1970-01-01 00:00:00,5.072,0.029,0.146,0.003
1033,1970-01-01 00:00:00,5.088,0.053,0.269,0.005
1043,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1053,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1063,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1106,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1113,1970-01-01 00:00:01,5.080,0.029,0.146,0.003
1123,1970-01-01 00:00:01,5.080,0.081,0.412,0.008
1133,1970-01-01 00:00:01,5.072,0.081,0.412,0.008
1143,1970-01-01 00:00:01,5.072,0.044,0.225,0.004
1153,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1163,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1173,1970-01-01 00:00:01,5.088,0.030,0.151,0.003
1183,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1193,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1203,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1213,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1223,1970-01-01 00:00:01,5.064,0.033,0.168,0.003
1233,1970-01-01 00:00:01,5.064,0.083,0.421,0.008
1243,1970-01-01 00:00:01,5.072,0.083,0.422,0.008
1253,1970-01-01 00:00:01,5.072,0.029,0.148,0.003
1263,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1273,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1283,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1293,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1303,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1313,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1323,1970-01-01 00:00:01,5.080,0.029,0.146,0.003
1333,1970-01-01 00:00:01,5.080,0.081,0.412,0.008
1343,1970-01-01 00:00:01,5.072,0.080,0.408,0.008
1353,1970-01-01 00:00:01,5.088,0.080,0.409,0.008
1363,1970-01-01 00:00:01,5.088,0.029,0.149,0.003
1373,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1383,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1393,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1403,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1413,1970-01-01 00:00:01,5.088,0.029,0.147,0.003
1423,1970-01-01 00:00:01,5.088,0.042,0.212,0.004
1433,1970-01-01 00:00:01,5.064,0.042,0.211,0.004
1443,1970-01-01 00:00:01,5.064,0.077,0.391,0.008
1453,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1463,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1473,1970-01-01 00:00:01,5.088,0.062,0.315,0.006
1483,1970-01-01 00:00:01,5.064,0.062,0.314,0.006
1493,1970-01-01 00:00:01,5.072,0.082,0.416,0.008
1503,1970-01-01 00:00:01,5.072,0.082,0.416,0.008
1513,1970-01-01 00:00:01,5.072,0.082,0.416,0.008
1523,1970-01-01 00:00:01,5.072,0.082,0.414,0.008
1533,1970-01-01 00:00:01,5.072,0.084,0.426,0.008
1543,1970-01-01 00:00:01,5.072,0.084,0.426,0.008
1553,1970-01-01 00:00:01,5.072,0.028,0.144,0.003
1563,1970-01-01 00:00:01,5.088,0.028,0.144,0.003
1573,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1583,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1593,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1603,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1613,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1623,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1633,1970-01-01 00:00:01,5.088,0.051,0.258,0.005
1643,1970-01-01 00:00:01,5.072,0.028,0.142,0.003
1653,1970-01-01 00:00:01,5.088,0.028,0.142,0.003
1663,1970-01-01 00:00:01,5.088,0.028,0.140,0.003
1673,1970-01-01 00:00:01,5.088,0.028,0.140,0.003
1683,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1693,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1703,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1713,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1723,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1733,1970-01-01 00:00:01,5.072,0.027,0.138,0.003
1743,1970-01-01 00:00:01,5.072,0.072,0.365,0.007
1753,1970-01-01 00:00:01,5.088,0.072,0.366,0.007
1763,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1773,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1783,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1793,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1803,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1813,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1823,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1833,1970-01-01 00:00:01,5.080,0.058,0.293,0.006
1843,1970-01-01 00:00:01,5.064,0.058,0.292,0.006
1854,1970-01-01 00:00:01,5.064,0.027,0.138,0.003
1863,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1873,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1883,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1893,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1903,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1913,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1923,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1933,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1943,1970-01-01 00:00:01,5.072,0.027,0.138,0.003
1953,1970-01-01 00:00:01,5.088,0.064,0.326,0.006
1963,1970-01-01 00:00:01,5.088,0.027,0.138,0.003
1973,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1983,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
1993,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
2003,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
2013,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
2023,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
2033,1970-01-01 00:00:01,5.080,0.027,0.138,0.003
2043,1970-01-01 00:00:02,5.080,0.066,0.333,0.007
2053,1970-01-01 00:00:02,5.064,0.066,0.332,0.007
2063,1970-01-01 00:00:02,5.088,0.052,0.265,0.005
2106,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
2113,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
2123,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
2133,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
2143,1970-01-01 00:00:02,5.072,0.027,0.138,0.003
2153,1970-01-01 00:00:02,5.072,0.056,0.282,0.006
2163,1970-01-01 00:00:02,5.088,0.056,0.283,0.006
2173,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2183,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2193,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2203,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2213,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2223,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2233,1970-01-01 00:00:02,5.080,0.028,0.142,0.003
2243,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2253,1970-01-01 00:00:02,5.088,0.076,0.389,0.008
2263,1970-01-01 00:00:02,5.080,0.028,0.142,0.003
2273,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2283,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2293,1970-01-01 00:00:02,5.088,0.028,0.144,0.003
2303,1970-01-01 00:00:02,5.088,0.028,0.144,0.003
2313,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2324,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2333,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2343,1970-01-01 00:00:02,5.088,0.028,0.144,0.003
2353,1970-01-01 00:00:02,5.064,0.028,0.144,0.003
2363,1970-01-01 00:00:02,5.064,0.046,0.235,0.005
2373,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2383,1970-01-01 00:00:02,5.080,0.028,0.142,0.003
2393,1970-01-01 00:00:02,5.080,0.028,0.142,0.003
2403,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2413,1970-01-01 00:00:02,5.080,0.028,0.142,0.003
2423,1970-01-01 00:00:02,5.080,0.028,0.142,0.003
2433,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2443,1970-01-01 00:00:02,5.088,0.028,0.142,0.003
2453,1970-01-01 00:00:02,5.080,0.082,0.415,0.008
2463,1970-01-01 00:00:02,5.080,0.082,0.415,0.008
2473,1970-01-01 00:00:02,5.080,0.069,0.350,0.007
2483,1970-01-01 00:00:02,5.064,0.081,0.409,0.008
2493,1970-01-01 00:00:02,5.072,0.081,0.410,0.008
2503,1970-01-01 00:00:02,5.072,0.082,0.418,0.008
2513,1970-01-01 00:00:02,5.072,0.082,0.418,0.008
2523,1970-01-01 00:00:02,5.064,0.080,0.407,0.008
2533,1970-01-01 00:00:02,5.064,0.062,0.314,0.006
2543,1970-01-01 00:00:02,5.088,0.062,0.315,0.006
2553,1970-01-01 00:00:02,5.088,0.037,0.189,0.004
2563,1970-01-01 00:00:02,5.064,0.037,0.188,0.004
2573,1970-01-01 00:00:02,5.088,0.037,0.189,0.004
2583,1970-01-01 00:00:02,5.088,0.029,0.147,0.003
2593,1970-01-01 00:00:02,5.088,0.029,0.147,0.003
2603,1970-01-01 00:00:02,5.088,0.029,0.149,0.003
2613,1970-01-01 00:00:02,5.088,0.029,0.149,0.003
2623,1970-01-01 00:00:02,5.088,0.029,0.149,0.003
2633,1970-01-01 00:00:02,5.088,0.029,0.147,0.003
2643,1970-01-01 00:00:02,5.088,0.029,0.147,0.003
2653,1970-01-01 00:00:02,5.080,0.029,0.146,0.003
2663,1970-01-01 00:00:02,5.080,0.083,0.421,0.008
2673,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2683,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2693,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2703,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2713,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2723,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2733,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2743,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2753,1970-01-01 00:00:02,5.088,0.046,0.232,0.005
2763,1970-01-01 00:00:02,5.064,0.046,0.231,0.005
2773,1970-01-01 00:00:02,5.064,0.027,0.138,0.003
2783,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2793,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2803,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2813,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2823,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2833,1970-01-01 00:00:02,5.080,0.028,0.140,0.003
2843,1970-01-01 00:00:02,5.080,0.028,0.140,0.003
2853,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2863,1970-01-01 00:00:02,5.072,0.027,0.138,0.003
2873,1970-01-01 00:00:02,5.088,0.076,0.385,0.008
2883,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2893,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2903,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
2913,1970-01-01 00:00:02,5.080,0.028,0.140,0.003
2923,1970-01-01 00:00:02,5.080,0.028,0.140,0.003
2933,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2943,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2953,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
2963,1970-01-01 00:00:02,5.080,0.054,0.274,0.005
2973,1970-01-01 00:00:02,5.064,0.054,0.273,0.005
2983,1970-01-01 00:00:02,5.088,0.058,0.293,0.006
2993,1970-01-01 00:00:02,5.088,0.027,0.138,0.003
3003,1970-01-01 00:00:02,5.080,0.027,0.138,0.003
3013,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
3023,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
3033,1970-01-01 00:00:02,5.080,0.027,0.136,0.003
3043,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3053,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3063,1970-01-01 00:00:03,5.072,0.027,0.136,0.003
3106,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3113,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3123,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3133,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3143,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3153,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3164,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3173,1970-01-01 00:00:03,5.064,0.063,0.318,0.006
3183,1970-01-01 00:00:03,5.064,0.049,0.247,0.005
3193,1970-01-01 00:00:03,5.088,0.049,0.248,0.005
3203,1970-01-01 00:00:03,5.088,0.027,0.138,0.003
3213,1970-01-01 00:00:03,5.088,0.028,0.140,0.003
3223,1970-01-01 00:00:03,5.080,0.028,0.140,0.003
3233,1970-01-01 00:00:03,5.080,0.028,0.140,0.003
3243,1970-01-01 00:00:03,5.080,0.028,0.140,0.003
3253,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3263,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3273,1970-01-01 00:00:03,5.072,0.027,0.138,0.003
3283,1970-01-01 00:00:03,5.072,0.059,0.300,0.006
3293,1970-01-01 00:00:03,5.088,0.027,0.138,0.003
3303,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3313,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3323,1970-01-01 00:00:03,5.080,0.027,0.138,0.003
3333,1970-01-01 00:00:03,5.080,0.028,0.140,0.003
3343,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3353,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3363,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3373,1970-01-01 00:00:03,5.080,0.072,0.364,0.007
3383,1970-01-01 00:00:03,5.080,0.072,0.364,0.007
3393,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3403,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3413,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3423,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3433,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3443,1970-01-01 00:00:03,5.080,0.028,0.144,0.003
3453,1970-01-01 00:00:03,5.080,0.029,0.146,0.003
3463,1970-01-01 00:00:03,5.088,0.029,0.147,0.003
3473,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
3483,1970-01-01 00:00:03,5.064,0.083,0.419,0.008
3493,1970-01-01 00:00:03,5.072,0.083,0.420,0.008
3503,1970-01-01 00:00:03,5.072,0.082,0.414,0.008
3513,1970-01-01 00:00:03,5.064,0.082,0.413,0.008
3523,1970-01-01 00:00:03,5.072,0.080,0.408,0.008
3533,1970-01-01 00:00:03,5.072,0.086,0.436,0.009
3543,1970-01-01 00:00:03,5.080,0.086,0.437,0.009
3553,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3563,1970-01-01 00:00:03,5.088,0.028,0.142,0.003
3573,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3583,1970-01-01 00:00:03,5.080,0.081,0.412,0.008
3593,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3603,1970-01-01 00:00:03,5.088,0.028,0.142,0.003
3613,1970-01-01 00:00:03,5.088,0.028,0.142,0.003
3623,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3634,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3643,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3653,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3663,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3673,1970-01-01 00:00:03,5.088,0.034,0.171,0.003
3683,1970-01-01 00:00:03,5.064,0.034,0.170,0.003
3693,1970-01-01 00:00:03,5.064,0.040,0.205,0.004
3703,1970-01-01 00:00:03,5.088,0.040,0.206,0.004
3713,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3723,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3733,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3743,1970-01-01 00:00:03,5.080,0.028,0.144,0.003
3753,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3763,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3773,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3783,1970-01-01 00:00:03,5.080,0.083,0.421,0.008
3793,1970-01-01 00:00:03,5.088,0.083,0.421,0.008
3803,1970-01-01 00:00:03,5.088,0.028,0.142,0.003
3813,1970-01-01 00:00:03,5.088,0.028,0.142,0.003
3823,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3833,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3843,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3853,1970-01-01 00:00:03,5.080,0.028,0.142,0.003
3863,1970-01-01 00:00:03,5.088,0.028,0.144,0.003
3873,1970-01-01 00:00:03,5.080,0.028,0.144,0.003
3883,1970-01-01 00:00:03,5.080,0.043,0.219,0.004
3893,1970-01-01 00:00:03,5.064,0.043,0.219,0.004
3903,1970-01-01 00:00:03,5.088,0.031,0.159,0.003
3913,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
3923,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
3933,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
3943,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
3953,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
3963,1970-01-01 00:00:03,5.088,0.029,0.147,0.003
3973,1970-01-01 00:00:03,5.088,0.029,0.147,0.003
3983,1970-01-01 00:00:03,5.080,0.029,0.146,0.003
3993,1970-01-01 00:00:03,5.080,0.080,0.406,0.008
4003,1970-01-01 00:00:03,5.072,0.080,0.406,0.008
4013,1970-01-01 00:00:03,5.072,0.076,0.383,0.008
4023,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
4033,1970-01-01 00:00:03,5.088,0.029,0.149,0.003
4043,1970-01-01 00:00:04,5.088,0.030,0.151,0.003
4053,1970-01-01 00:00:04,5.088,0.029,0.147,0.003
4063,1970-01-01 00:00:04,5.088,0.029,0.147,0.003
4108,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4116,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4124,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4133,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4143,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4153,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4163,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4173,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4183,1970-01-01 00:00:04,5.088,0.029,0.149,0.003
4193,1970-01-01 00:00:04,5.072,0.029,0.148,0.003
4203,1970-01-01 00:00:04,5.072,0.076,0.383,0.008
4213,1970-01-01 00:00:04,5.088,0.028,0.144,0.003
4223,1970-01-01 00:00:04,5.088,0.028,0.144,0.003
4233,1970-01-01 00:00:04,5.088,0.028,0.142,0.003
4243,1970-01-01 00:00:04,5.088,0.028,0.142,0.003
4253,1970-01-01 00:00:04,5.088,0.028,0.142,0.003
4263,1970-01-01 00:00:04,5.088,0.028,0.142,0.003
4273,1970-01-01 00:00:04,5.088,0.028,0.142,0.003
4283,1970-01-01 00:00:04,5.088,0.028,0.142,0.003
4293,1970-01-01 00:00:04,5.088,0.059,0.301,0.006
4303,1970-01-01 00:00:04,5.064,0.059,0.300,0.006
4313,1970-01-01 00:00:04,5.064,0.079,0.399,0.008
4323,1970-01-01 00:00:04,5.072,0.069,0.351,0.007
4333,1970-01-01 00:00:04,5.088,0.069,0.352,0.007
4343,1970-01-01 00:00:04,5.088,0.028,0.140,0.003
4353,1970-01-01 00:00:04,5.088,0.028,0.140,0.003
4363,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4373,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4383,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4393,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4403,1970-01-01 00:00:04,5.072,0.062,0.316,0.006
4413,1970-01-01 00:00:04,5.088,0.062,0.317,0.006
4423,1970-01-01 00:00:04,5.088,0.027,0.138,0.003
4433,1970-01-01 00:00:04,5.088,0.027,0.138,0.003
4443,1970-01-01 00:00:04,5.088,0.027,0.138,0.003
4453,1970-01-01 00:00:04,5.088,0.027,0.138,0.003
4463,1970-01-01 00:00:04,5.088,0.027,0.138,0.003
4473,1970-01-01 00:00:04,5.064,0.033,0.166,0.003
4483,1970-01-01 00:00:04,5.064,0.081,0.409,0.008
4493,1970-01-01 00:00:04,5.072,0.081,0.410,0.008
4503,1970-01-01 00:00:04,5.072,0.078,0.396,0.008
4513,1970-01-01 00:00:04,5.072,0.080,0.408,0.008
4523,1970-01-01 00:00:04,5.072,0.080,0.408,0.008
4533,1970-01-01 00:00:04,5.072,0.080,0.406,0.008
4543,1970-01-01 00:00:04,5.088,0.080,0.407,0.008
4553,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4563,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4573,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4583,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4593,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4603,1970-01-01 00:00:04,5.064,0.027,0.138,0.003
4613,1970-01-01 00:00:04,5.064,0.054,0.271,0.005
4623,1970-01-01 00:00:04,5.088,0.054,0.273,0.005
4633,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4643,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4653,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4663,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4673,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
4683,1970-01-01 00:00:04,5.080,0.027,0.138,0.003
